jump_id,take_off_n_frames,take_off_duration_sec,take_off_hip_height_mean,take_off_hip_height_std,take_off_takeoff_knee_velocity_max,take_off_takeoff_knee_velocity_mean,take_off_takeoff_knee_angle_final,early_flight_n_frames,early_flight_duration_sec,early_flight_hip_height_mean,early_flight_hip_height_std,early_flight_early_vstyle_opening_rate,early_flight_early_vstyle_final,mid_flight_n_frames,mid_flight_duration_sec,mid_flight_hip_height_mean,mid_flight_hip_height_std,mid_flight_mid_bsa_mean,mid_flight_mid_bsa_std,mid_flight_mid_bsa_range,late_flight_n_frames,late_flight_duration_sec,late_flight_hip_height_mean,late_flight_hip_height_std,late_flight_late_bsa_std,late_flight_late_bsa_trend,landing_n_frames,landing_duration_sec,landing_hip_height_mean,landing_hip_height_std,landing_landing_scissor_mean,landing_landing_scissor_max,landing_landing_absorption
JP0026,16.0,0.5,0.5014477867337628,0.0005118073519346284,916.5030850565596,114.93667544561544,163.80018237222743,59.0,1.9333333333333333,0.49943166689718654,0.0008003418245534867,49.31865110704635,2.40678812249184,5.0,0.13333333333333333,0.5000053585307194,3.5237907941604178e-06,8.202796428935468,0.5449228589256884,1.5563542834490693,95.0,3.1333333333333333,0.5005158306070179,0.00048140788762263186,7.086085154823765,4.135309721977988,16.0,0.5,0.5014461291174221,0.0004076027562334251,0.039969978857291755,0.05175912321389864,-0.0010362024410050935
JP0028,16.0,0.5,0.499977924179691,0.00019389335006007971,543.2371126438761,202.6441090756858,178.31456461715229,91.0,3.0,0.49979586040178364,0.000492661912335104,60.92355837069156,1.280898826866677,5.0,0.13333333333333333,0.5001258330052899,0.00010159375297457035,1.6119927589368594,0.2834934545336152,0.766216267933123,53.0,1.7333333333333334,0.5010594328380534,0.0006955915803124479,13.771801146463128,23.195276187430295,16.0,0.5,0.500331335707993,0.0002121042155765975,0.02116002714894815,0.029049351233175202,0.0006843830794638767
JP0029,16.0,0.5,0.5002341261929046,0.0001484290124046859,109.29598637231948,20.89352598342523,169.72216342639058,77.0,2.533333333333333,0.5002986203680402,0.0005300521130694955,35.207265497789734,2.4857017430011408,11.0,0.3333333333333333,0.49993479849801614,4.2457577351909184e-05,15.108157158143946,2.2920049669634768,6.809584087738447,68.0,2.2333333333333334,0.5000733623964261,0.0007260986102678416,6.6935502095284445,-1.5751658416866516,7.0,0.2,0.50016697394264,8.499362221191786e-05,0.02432497550431464,0.02845857382390471,0.00118011934642329
JP0030,16.0,0.5,0.5000618454845676,0.0001327684785180782,430.1414704572747,113.75424065673312,179.40202500515778,141.0,4.666666666666667,0.5001694262507929,0.0004651533355888686,63.143962796826585,3.5891433890033473,12.0,0.36666666666666664,0.5000839702884398,0.0003411926758185437,2.1618896471593056,1.6986559610238132,5.617363260504437,84.0,2.7666666666666666,0.500677757420937,0.0005980434909808932,5.246437401976457,3.8955173086666663,16.0,0.5,0.4999110639130059,0.00010239657448960903,0.008811625280991053,0.010572052785404407,0.00014459957863609263
JP0031,16.0,0.5,0.5003254510034114,0.00031400195291615007,863.8994004573444,155.12327769654812,171.60770460811415,100.0,3.3,0.500438548399185,0.0012664220241224234,81.48565571606915,2.4910019622250896,9.0,0.26666666666666666,0.5007958601678015,0.0003022236089756414,2.9998705052561143,0.7264956807948982,2.456236976984105,41.0,1.3333333333333333,0.5005334144653953,0.0006196497031173275,13.153045965839285,27.856571802532837,12.0,0.36666666666666664,0.5004553888510542,0.0003395701551254361,0.02480429984334162,0.0336589221278748,-0.0029878128209882837
JP0032,16.0,0.5,0.5008668325461463,0.0006241124252816009,380.97428361860153,197.71570309139034,175.03163164400314,71.0,2.3333333333333335,0.5013009532590217,0.002450130038966834,57.61455567128459,1.358337082731167,5.0,0.13333333333333333,0.5005395444884744,0.0001017214284871183,6.103624539341251,0.3986583590419532,1.1112260380063494,44.0,1.4333333333333333,0.5004946956889135,0.0016366226808521257,12.890220916772103,28.104672630570995,11.0,0.3333333333333333,0.5006808248466029,0.000634172864279223,0.0336290829414118,0.04209627624997503,0.0014224560141355576
JP0033,16.0,0.5,0.5001736985534524,0.0005443431982002587,471.1703533463887,293.0066433892742,177.5391114246249,155.0,5.133333333333334,0.5001238493652026,0.0004925713041916382,34.55169073830696,2.195036552035454,4.0,0.1,0.5010153381248083,0.00035229456534092366,3.9007784774552317,0.5433740565109467,1.4685818902854568,86.0,2.8333333333333335,0.5006951922999303,0.0007239367243087805,6.149203107837973,3.701226343911459,16.0,0.5,0.5007978311068791,0.0005310705164686838,0.021390996254872827,0.02685823549790123,-0.0019633489573210594
JP0034,16.0,0.5,0.49985715371019557,0.0002900314696958378,515.3104711269043,283.79411361717706,175.14626098564202,84.0,2.7666666666666666,0.5001662408151106,0.000832526639990723,130.58532106967198,0.6293717541519578,11.0,0.3333333333333333,0.5003499795886686,0.00048331885574360125,2.1223593356964328,0.1803205464236673,0.606899245773773,56.0,1.8333333333333333,0.5016389731193537,0.0012417478343368813,8.78136771684316,9.084348685150095,15.0,0.4666666666666667,0.501334943602154,0.0019178806590881916,0.02007551557220001,0.03044532295717095,0.012855561811018879
JP0035,16.0,0.5,0.5004089593453582,0.001724129261655999,522.6362097050767,73.5992523929825,177.04554212548774,71.0,2.3333333333333335,0.500023999517006,0.0017258368931435423,82.25140015372044,2.6954456768336446,8.0,0.23333333333333334,0.50096821294149,0.0004140793930964545,0.6216834627324502,0.47227873365424206,1.3776998375933642,56.0,1.8333333333333333,0.5023242788814881,0.001826858519401723,10.828673285891076,19.258437959163196,16.0,0.5,0.5021515883427512,0.001710480361525316,0.023037355574990773,0.027869052404150607,-0.004255719117513684
JP0036,16.0,0.5,0.5010060806067228,0.0003484849133063458,46.47514886655273,41.27910548133979,163.29453839596857,62.0,2.033333333333333,0.4996608659725327,0.0005522755687704413,10.388415469453356,4.659404165961277,5.0,0.13333333333333333,0.5011764913464658,0.00017669910810119265,11.2665074919213,0.1933389300211257,0.5424447490396158,87.0,2.8666666666666667,0.5017223431297426,0.0010647618679442738,48.26157947485947,-4.519574130882391,5.0,0.13333333333333333,0.5015789947308064,0.0012071567917877955,0.04338786688804608,0.05284937612536278,-0.010632150499586102
