metric,target,n_samples,pearson_r,pearson_p,r_squared,ci_lower_95,ci_upper_95,spearman_rho,spearman_p,significant_p05,abs_r
landing_hip_velocity,Style_Score,31,0.08237901431546578,0.6595253848996206,0.006786301999587715,-0.28014467072645033,0.4243383605533006,0.024519058284748263,0.8958340403126941,False,0.08237901431546578
takeoff_peak_velocity,Style_Score,23,0.07545916033185358,0.7322029924520352,0.005694084877988385,-0.3475605490154242,0.47295673331598126,0.18506738629972888,0.39789052660568464,False,0.07545916033185358
knee_peak_velocity,AthleteScore,24,-0.0615555389815267,0.7750835096703595,0.003789084379306253,-0.4536928608536412,0.3505525697348828,-0.18086956521739128,0.3976742074169041,False,0.0615555389815267
avg_symmetry_index_back,Physical_Score,4,-0.0614234381718491,0.938576561828151,0.003772838756850969,-0.9655155622791445,0.9561087850095809,-0.19999999999999998,0.8,False,0.0614234381718491
knee_peak_velocity,Physical_Score,24,-0.061048293314730856,0.776891037480733,0.003726894116641412,-0.45328841228207956,0.35099907997705404,-0.19652173913043475,0.35737406951590367,False,0.061048293314730856
takeoff_peak_velocity,Physical_Score,23,-0.0529735945056268,0.8102891679620325,0.002806201714846574,-0.45524171342008735,0.36725470849370867,-0.11363636363636365,0.6056681466311387,False,0.0529735945056268
takeoff_peak_velocity,AthleteScore,23,-0.051408931609896846,0.8157978506241248,0.0026428782492710513,-0.45399704290419596,0.36861125066728306,-0.10375494071146245,0.637556964162966,False,0.051408931609896846
avg_symmetry_index_back,AthleteScore,4,-0.04641649929644609,0.9535835007035538,0.0021544914069369803,-0.964480447070236,0.9573825755904309,-0.19999999999999998,0.8,False,0.04641649929644609
takeoff_timing_offset,Style_Score,24,0.0289744762528866,0.8930897730996217,0.0008395202741290895,-0.37885704612002213,0.42738235082648346,0.11823689778223356,0.5821448416901914,False,0.0289744762528866
telemark_stability,Style_Score,29,0.023452479781094195,0.9038839660053418,0.000550018807882632,-0.346033683205937,0.38664085786487573,0.21669464753574688,0.25886153416998947,False,0.023452479781094195
knee_peak_velocity,Style_Score,24,-0.017221183115160972,0.9363421859880321,0.00029656914788590534,-0.4177225205778751,0.38888371394156185,0.09469844770045983,0.6598276372486793,False,0.017221183115160972
landing_knee_compression,Physical_Score,31,0.017047767797104447,0.9274736746502146,0.0002906263868639914,-0.33934824187872864,0.36916379121849763,-0.2421797398482414,0.18930789996042768,False,0.017047767797104447
landing_absorption_rate,Physical_Score,29,-0.01413693822009426,0.9419776347011627,0.00019985302223876188,-0.3786866208306376,0.3542101423795521,0.12216748768472901,0.527828083507965,False,0.01413693822009426
landing_absorption_rate,AthleteScore,29,-0.009160135445086821,0.9623858118829418,8.390808137233594e-05,-0.37441490542125744,0.35855543413644597,0.12463054187192114,0.5194764063005016,False,0.009160135445086821
flight_std,Style_Score,30,-0.004633716673869082,0.9806120746036426,2.1471330213692346e-05,-0.364300802148316,0.35623624303666446,0.017224282821415214,0.9280177646484172,False,0.004633716673869082
landing_knee_compression,AthleteScore,31,0.001077323526074286,0.9954107706858855,1.1606259798331328e-06,-0.3534036582565972,0.3552877656465085,-0.2506560307429298,0.17380734672738044,False,0.001077323526074286
