metric,target,pearson_r,pearson_p,spearman_rho,spearman_p,n_samples,significant
takeoff_timing_offset,AthleteDistance,0.41202922198197334,0.12699011940687663,0.42943147202334164,0.11016723671449236,15,False
takeoff_timing_offset,AthleteScore,0.503225719472209,0.055850054862356203,0.6176103237066375,0.014153467566040875,15,False
takeoff_peak_velocity,Physical_Score,-0.15460236142728612,0.5822149075834983,-0.15357142857142855,0.5847640949410158,15,False
takeoff_peak_velocity,Style_Score,0.1578204979092402,0.5742869585046722,0.4032283965371178,0.13613246413767133,15,False
takeoff_peak_velocity,AthleteDistance,-0.14580731683449047,0.6041069160809643,-0.20196612175517448,0.4703912512291848,15,False
takeoff_peak_velocity,AthleteScore,-0.14518304472253815,0.6056730712040032,-0.14285714285714282,0.6115222287644655,15,False
telemark_scissor_mean,Physical_Score,0.12627550536673876,0.7281349411415059,-0.2606060606060606,0.4670890543863402,10,False
telemark_scissor_mean,Style_Score,0.6431624137193303,0.04484622090266476,0.7217429126939475,0.018445170682728874,10,True
telemark_scissor_mean,AthleteDistance,0.12852372028748899,0.7234525766841151,-0.28484848484848485,0.42503815489214547,10,False
telemark_scissor_mean,AthleteScore,0.18462449585461457,0.6096209184297633,-0.0303030303030303,0.9337729580941466,10,False
telemark_stability,Physical_Score,0.47153143070449477,0.030936409202483802,0.425974025974026,0.054178542339923655,21,True
telemark_stability,Style_Score,-0.014583259132128101,0.9499737398450262,0.23122541915602704,0.313225562835861,21,False
telemark_stability,AthleteDistance,0.3808602962360113,0.08850514340986737,0.1358024978040119,0.557238489092411,21,False
telemark_stability,AthleteScore,0.47474395229594957,0.029657149371823288,0.42727272727272725,0.05337040521549704,21,True
landing_absorption_rate,Physical_Score,0.004602853698076895,0.9842018514856686,0.17792207792207793,0.4403496824576797,21,False
landing_absorption_rate,Style_Score,-0.2217446252516532,0.3340252876061109,-0.15872253348845924,0.4919593420392061,21,False
landing_absorption_rate,AthleteDistance,0.014826014138705863,0.9491420239883537,0.27680317734214865,0.22447693715089476,21,False
landing_absorption_rate,AthleteScore,-0.014521620231896602,0.9501849321670984,0.13506493506493505,0.5594015294704846,21,False
