ID,AthleteScore,AthleteDistance,Style_Score,Physical_Score,knee_peak_velocity,flight_std,flight_mean_bsa,flight_jitter,landing_hip_velocity,landing_knee_compression,avg_v_style_front,avg_v_style_back,takeoff_knee_angle,avg_body_ski_angle,avg_symmetry_index_back,takeoff_timing_offset,takeoff_peak_velocity,telemark_scissor_mean,telemark_stability,landing_absorption_rate
JP0011,136.1,146.5,16.333333333333332,119.76666666666667,443.48192676267104,18.59684059831713,8.553086373056518,17.8056813204461,0.0215064917005926,34.405311783116375,,,157.7705273715021,17.139745400616313,,-2.0,,,,
JP0012,220.5,232.5,19.333333333333332,201.16666666666666,517.068073465298,8.236913420663093,7.045581824035488,1.340674113363055,0.0162805051142371,0.0,53.022289652198985,,131.22933916079074,11.15499611254326,,0.0,517.068073465298,0.2403983625596927,35.197617672141924,0.0007024636930078
JP0013,228.3,244.5,16.666666666666668,211.63333333333335,460.2332314479189,,,,,,45.18031671756019,,146.61214259220628,,,1.0,460.2332314479189,,,
JP0014,138.7,134.0,19.166666666666668,119.53333333333332,,,,,,,,,,,,,,,,
JP0015,156.8,130.5,18.5,138.3,,13.682749265486049,14.978949546406072,2.9647166349170937,0.008854965052322,28.2217059485764,35.19427740997173,,145.67663199183008,14.453517892217484,,,,0.4753345256677039,31.81137571696606,0.0044332737929648
JP0016,130.1,102.5,18.5,111.6,621.6074052634173,10.509855603075769,10.084626218119938,2.0844506854040343,0.0055957886887727,15.75427146453788,31.23345469025221,,127.94151101923188,16.483042438839306,,0.0,621.6074052634173,0.4000251009371168,37.39949880772812,-0.0013168039405398
JP0017,137.9,100.5,18.0,119.9,,10.60476417389522,6.767508083551896,3.130520999232591,0.0074759294880577,31.022286396047576,28.803149702922536,,162.72015182068287,12.141494348383986,,,,0.3780772198133629,31.108035387232032,-0.0006672813465348
JP0018,119.4,99.0,17.833333333333332,101.56666666666668,112.9970769883407,12.987657543740047,9.782980408051936,1.897387801257071,0.0073045542156796,64.68300576373429,,,174.1630493088797,21.926334747148047,,-10.0,115.56890309000806,0.3654740839821387,8.759442548211434,-0.0001965532322933
JP0019,147.6,133.0,19.0,128.6,,18.10477287450424,12.639087747675996,2.578406350705867,0.0091204365771463,32.657214240532696,38.96394139558821,,171.43528844935474,9.596709467664212,,,,0.1887854689323082,22.134114298870244,0.0011985931270676
JP0020,132.1,126.5,19.0,113.1,,,,,,,,,,,,,,,,
JP0021,135.9,152.0,18.166666666666668,117.73333333333333,,,,,0.0062502517393911,48.99767879910058,,51.65389107350482,,,6.559203455988772,,,0.414984794316273,8.888521796752983,0.0001539674607788
JP0022,143.0,144.0,19.5,123.5,,10.423879719753051,8.956621254222435,1.7375041034601657,0.0021856462145716,31.69709482057945,,,120.30513410346366,7.365768324912068,,,,0.3611253311841687,12.505333559085948,-8.916262165321875e-05
JP0023,144.4,144.0,18.5,125.9,293.92568888112874,7.326436375886369,6.786198660300801,2.400463664757727,0.0132261825727409,49.88148279691531,,,170.60334699314927,10.247284272260105,,-7.0,494.7622646787614,0.4326647678514517,20.934546204254406,0.000935990485988
